alert_id,alert_date,customer_segment,channel,rule_name,amount_usd,risk_score,status,severity,resolution_type,resolution_hours
A-1001,2026-01-03,retail,web,Multiple transactions,1250.50,82,closed,high,false_positive,6
A-1002,2026-01-04,retail,mobile,Velocity threshold,2400.00,91,escalated,critical,confirmed_risk,18
A-1003,2026-01-05,business,api,Unusual location,8900.25,77,closed,high,false_positive,10
A-1004,2026-01-07,retail,web,Multiple transactions,310.00,43,closed,medium,false_positive,5
A-1005,2026-01-09,premium,mobile,New device,5400.00,88,in_review,high,,
A-1006,2026-01-11,retail,web,Velocity threshold,1850.75,69,closed,medium,confirmed_risk,14
A-1007,2026-01-14,business,api,Unusual location,15200.00,95,escalated,critical,confirmed_risk,22
A-1008,2026-01-18,retail,mobile,Multiple transactions,620.40,38,closed,low,false_positive,4
A-1009,2026-01-20,premium,web,New device,780.00,58,closed,medium,false_positive,8
A-1010,2026-01-23,retail,web,Velocity threshold,4200.00,86,in_review,high,,
A-1011,2026-02-02,business,api,Multiple transactions,6700.00,73,closed,high,confirmed_risk,16
A-1012,2026-02-04,retail,mobile,Unusual location,450.20,31,closed,low,false_positive,3
A-1013,2026-02-07,premium,web,New device,9100.00,89,escalated,critical,confirmed_risk,20
A-1014,2026-02-10,retail,web,Multiple transactions,230.00,27,closed,low,false_positive,2
A-1015,2026-02-13,business,mobile,Velocity threshold,3400.00,79,in_review,high,,
A-1016,2026-02-16,retail,api,Unusual location,1250.00,64,closed,medium,false_positive,11
A-1017,2026-02-19,premium,mobile,New device,22000.00,97,escalated,critical,confirmed_risk,30
A-1018,2026-02-22,retail,web,Multiple transactions,510.80,42,closed,medium,false_positive,7
A-1019,2026-03-01,business,api,Velocity threshold,5600.00,84,in_review,high,,
A-1020,2026-03-03,retail,mobile,Unusual location,780.00,36,closed,low,false_positive,4
A-1021,2026-03-05,premium,web,New device,11800.00,92,escalated,critical,confirmed_risk,26
A-1022,2026-03-08,retail,web,Multiple transactions,900.00,51,closed,medium,false_positive,9
A-1023,2026-03-11,business,mobile,Unusual location,2500.00,71,closed,high,confirmed_risk,15
A-1024,2026-03-14,retail,api,Velocity threshold,1450.00,63,in_review,medium,,
